indicator,name
6.0.GDP_current,GDP (current $)
6.0.GDP_growth,GDP growth (annual %)
6.0.GDP_usd,GDP (constant 2005 $)
6.0.GDPpc_constant,"GDP per capita, PPP (constant 2011 international $) "
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
BG.KAC.FNEI.GD.PP.ZS,"Gross private capital flows (% of GDP, PPP)"
BG.KAC.FNEI.GD.ZS,Gross private capital flows (% of GDP)
BG.KLT.DINV.GD.PP.ZS,"Gross foreign direct investment (% of GDP, PPP)"
BG.KLT.DINV.GD.ZS,Gross foreign direct investment (% of GDP)
BI.WAG.TOTL.GD.ZS,Wage bill as a percentage of GDP
BM.GSR.MRCH.ZS,Merchandise imports (BOP): percentage of GDP (%)
BM.KLT.DINV.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
BN.CAB.XOKA.GDP.ZS,Current account balance (% of GDP)
BN.CAB.XOTR.ZS,Curr. acc. bal. before official transf. (% of GDP)
BN.CUR.GDPM.ZS,Current account balance excluding net official capital grants (% of GDP)
BN.GSR.FCTY.CD.ZS,Net income (% of GDP)
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)"
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)"
BN.KLT.DINV.CD.ZS,Foreign direct investment (% of GDP)
BN.KLT.DINV.DRS.GDP.ZS,"Foreign direct investment, net inflows (% of GDP)"
BN.KLT.PRVT.GD.ZS,"Private capital flows, total (% of GDP)"
BN.TRF.CURR.CD.ZS,Net current transfers (% of GDP)
BX.GSR.MRCH.ZS,Merchandise exports (BOP): percentage of GDP (%)
BX.KLT.DINV.DT.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
BX.TRF.MGR.DT.GD.ZS,Migrant remittance inflows (% of GDP)
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)"
BX.TRF.PWKR.GD.ZS,"Workers' remittances, receipts (% of GDP)"
CC.ENTX.ENE.ZS,Total energy tax revenue (% of GDP)
CC.ENTX.ENV.ZS,Total environmental tax revenue (% of GDP)
CC.ENV.TRAD.EX,Trade in environmental goods as share of total exports (%)
CC.ENV.TRAD.IM,Trade in environmental goods as share of total imports (%)
